,cut,color,clarity,carat,depth,table,x,y,z,price
22860,Very Good,E,VVS1,1.01,63.1,57,6.39,6.36,4.02,10891
22861,Ideal,G,SI1,1.76,62.1,56,7.69,7.77,4.8,10896
22862,Premium,H,VS2,1.54,61.8,59,7.4,7.35,4.56,10897
22863,Good,F,SI1,1.63,57.7,60,7.71,7.79,4.47,10901
22864,Premium,D,SI2,1.55,62,58,7.39,7.44,4.6,10905
22865,Very Good,J,SI2,2,60.9,54,8.12,8.17,4.96,10907
22866,Ideal,I,VVS2,1.5,60.3,57,7.43,7.47,4.49,10907
22867,Ideal,D,VS2,1.16,61.8,55,6.72,6.75,4.16,10907
22868,Premium,D,SI1,1.53,61.6,58,7.42,7.35,4.55,10907
22869,Premium,I,VS2,1.7,62.4,58,7.61,7.56,4.73,10910
22870,Very Good,H,VS2,1.62,62.6,58,7.57,7.45,4.7,10912
22871,Premium,H,SI2,2.24,61.8,58,8.41,8.34,5.18,10913
22872,Fair,H,SI2,2,67.9,55,7.67,7.58,5.18,10913
22873,Premium,I,SI2,2.32,62.1,58,8.47,8.43,5.25,10913
22874,Premium,G,SI1,1.57,59.5,58,7.56,7.61,4.51,10914
22875,Premium,G,SI1,1.57,59.2,59,7.6,7.68,4.52,10914
22876,Very Good,E,VVS1,1.05,59.5,60,6.56,6.66,3.93,10915
22877,Ideal,G,VVS1,1.26,62.1,57,7.01,6.91,4.32,10916
22878,Ideal,E,VS2,1.32,62,56,7.02,7.07,4.37,10919
22879,Ideal,H,VS2,1.5,62.3,56,7.34,7.29,4.56,10920
22880,Ideal,I,VS1,1.58,62.4,54,7.43,7.46,4.64,10920
22881,Very Good,G,VVS1,1.26,60.2,59,6.98,7.07,4.23,10922
22882,Ideal,F,VS1,1.29,62.3,54,7,6.93,4.34,10923
22883,Premium,I,VS1,1.53,62.4,59,7.34,7.3,4.57,10924
22884,Ideal,G,VS1,1.37,62.2,55,7.09,7.12,4.42,10927
22885,Premium,D,VVS2,1.01,62.4,58,6.44,6.39,4,10927
22886,Very Good,E,SI1,1.5,59.3,56,7.43,7.51,4.43,10929
22887,Premium,F,VS2,1.36,59.3,60,7.23,7.2,4.28,10929
22888,Premium,I,VS2,1.7,62,59,7.6,7.55,4.7,10929
22889,Ideal,F,SI2,1.64,61.4,57,7.59,7.55,4.65,10929
22890,Premium,F,VS1,1.3,61,59,7.05,7.08,4.31,10930
22891,Premium,H,VS1,1.57,60.5,61,7.6,7.51,4.57,10930
22892,Very Good,F,VVS2,1.2,61.4,60,6.79,6.83,4.18,10931
22893,Ideal,I,VVS2,1.5,60.7,60,7.35,7.4,4.48,10931
22894,Ideal,G,VVS1,1.14,61.1,58,6.74,6.77,4.13,10933
22895,Premium,D,SI2,1.58,59.6,59,7.67,7.61,4.55,10934
22896,Ideal,D,SI1,1.56,62.2,58,7.37,7.42,4.6,10934
22897,Very Good,I,VS2,1.7,63,58,7.52,7.65,4.78,10935
22898,Ideal,E,SI2,1.51,60.5,57,7.38,7.42,4.48,10935
22899,Good,I,SI2,1.91,62.8,58,7.82,7.89,4.93,10937
22900,Ideal,F,SI2,1.55,61.9,55,7.44,7.4,4.6,10937
22901,Premium,H,VS1,1.51,62.4,60,7.34,7.27,4.56,10939
22902,Premium,F,SI1,1.5,61.9,60,7.26,7.21,4.48,10940
22903,Premium,H,SI1,1.61,62.5,58,7.51,7.46,4.68,10942
22904,Ideal,J,VVS2,1.71,61.6,59,7.65,7.68,4.72,10945
22905,Ideal,G,VS1,1.24,61.8,55,6.85,6.89,4.25,10946
22906,Very Good,G,SI1,1.51,61.5,54,7.35,7.42,4.54,10947
22907,Ideal,G,SI1,1.53,60.1,57,7.46,7.57,4.52,10947
22908,Ideal,F,VVS2,1.12,62.2,55,6.64,6.68,4.14,10949
22909,Very Good,H,VS2,1.51,63.2,57,7.18,7.32,4.58,10950
22910,Premium,H,VS2,1.51,60.2,60,7.5,7.38,4.48,10951
22911,Premium,G,SI1,1.51,62.7,58,7.3,7.25,4.56,10951
22912,Ideal,E,VVS1,1.01,62,57,6.39,6.45,3.98,10954
22913,Very Good,E,IF,1,63.1,56,6.32,6.39,4.01,10954
22914,Fair,F,SI1,1.54,65.8,56,7.22,7.18,4.74,10954
22915,Premium,I,VVS1,1.5,62.4,60,7.29,7.32,4.56,10956
22916,Ideal,F,VS1,1.31,61.9,54,7.03,7.06,4.35,10957
22917,Premium,I,SI1,1.73,61.2,60,7.67,7.65,4.69,10957
22918,Very Good,H,VS2,1.5,62.8,57,7.25,7.3,4.57,10959
22919,Ideal,H,VS2,1.51,64.2,59,7.22,7.16,4.62,10959
22920,Ideal,H,VS2,1.51,62.5,55,7.34,7.29,4.57,10959
22921,Ideal,H,SI1,1.55,62.4,58,7.38,7.4,4.61,10960
22922,Very Good,G,VVS1,1.25,60.6,60,6.92,6.95,4.2,10962
22923,Premium,F,SI1,1.5,62.6,60,7.27,7.18,4.52,10962
22924,Premium,F,VS2,1.35,61.9,58,7.06,7.02,4.36,10962
22925,Very Good,F,SI1,1.5,63.4,58,7.2,7.16,4.55,10962
22926,Very Good,G,SI1,1.59,59.5,61,7.57,7.65,4.53,10963
22927,Premium,E,SI1,1.52,62.4,59,7.37,7.34,4.59,10963
22928,Ideal,I,VS2,1.57,60.4,58,7.55,7.59,4.57,10964
22929,Very Good,F,IF,1.02,62.5,58,6.39,6.54,4.04,10967
22930,Ideal,D,VVS2,1.02,62,56,6.43,6.48,4,10967
22931,Very Good,D,VS2,1.44,63.1,56,7.15,7.12,4.5,10967
22932,Ideal,I,SI1,1.7,60.4,58,7.73,7.67,4.65,10967
22933,Ideal,I,VVS1,1.52,61.9,56,7.34,7.37,4.55,10968
22934,Very Good,F,SI1,1.5,61.2,57,7.34,7.37,4.5,10973
22935,Ideal,H,IF,1.4,60.9,57,7.22,7.29,4.42,10976
22936,Premium,I,SI2,2,60,58,8.23,8.17,4.92,10976
22937,Premium,F,VS1,1.32,61.7,59,6.95,6.99,4.3,10977
22938,Premium,H,VS2,1.54,61,60,7.42,7.46,4.54,10977
22939,Premium,G,SI1,1.55,60.1,58,7.49,7.44,4.52,10980
22940,Good,F,VVS1,1.2,63.6,57,6.71,6.74,4.28,10982
22941,Ideal,G,VVS2,1.25,62.2,55,6.87,6.93,4.29,10983
22942,Ideal,F,IF,1.04,61.8,55,6.56,6.49,4.03,10984
22943,Premium,D,VVS2,1.04,61.1,60,6.54,6.51,3.99,10984
22944,Ideal,H,SI1,1.5,62,55,7.29,7.34,4.54,10989
22945,Premium,H,SI1,1.56,61.9,59,7.46,7.4,4.6,10990
22946,Very Good,E,VVS1,1.01,63.6,55,6.35,6.39,4.05,10993
22947,Ideal,G,SI1,1.51,62.3,54,7.38,7.32,4.58,10993
22948,Premium,H,VS2,1.66,62.3,58,7.62,7.57,4.73,10993
22949,Ideal,F,IF,1.06,61,57,6.55,6.64,4.02,10995
22950,Good,F,VS2,1.5,63.6,59,7.13,7.22,4.56,10995
22951,Ideal,G,VVS1,1.25,61.3,56,6.95,6.98,4.28,10996
22952,Premium,G,SI1,1.59,62.1,58,7.45,7.43,4.62,10996
22953,Ideal,G,VVS1,1.27,61.7,56,7.03,6.9,4.3,11002
22954,Premium,I,SI1,1.71,60.2,58,7.75,7.79,4.68,11003
22955,Ideal,G,VVS2,1.22,60,58,6.95,6.99,4.18,11003
22956,Very Good,F,SI1,1.5,63.9,58,7.12,7.16,4.56,11004
22957,Premium,J,VVS1,1.7,62.9,60,7.61,7.56,4.77,11005
22958,Premium,I,VVS2,1.5,61.4,58,7.38,7.32,4.51,11007
22959,Fair,H,VS1,1.5,61.7,60,7.37,7.27,4.52,11007
22960,Premium,H,VS1,1.5,61.1,58,7.46,7.37,4.53,11007
22961,Ideal,G,VS1,1.41,60.4,57,7.22,7.31,4.39,11009
22962,Ideal,G,VS1,1.37,61.1,55,7.2,7.16,4.39,11009
22963,Very Good,F,VS1,1.41,63.4,63,7.13,6.97,4.47,11010
22964,Ideal,J,SI2,2.01,62.9,54,8.06,7.93,5.05,11011
22965,Ideal,F,SI1,1.55,61.3,56,7.45,7.49,4.58,11011
22966,Very Good,G,SI1,1.52,62.4,60,7.25,7.34,4.55,11014
22967,Ideal,D,VVS2,1.01,61.5,57,6.43,6.48,3.97,11015
22968,Very Good,I,VS1,1.59,61.2,57.8,7.5,7.52,4.6,11018
22969,Very Good,F,IF,1.07,59.4,59,6.64,6.7,3.96,11019
22970,Ideal,I,VS2,1.63,61.9,54.3,7.54,7.58,4.68,11019
22971,Ideal,D,VS1,1.21,60.1,60,6.92,6.99,4.18,11019
22972,Premium,I,SI1,1.74,58.7,60,7.9,7.84,4.62,11020
22973,Premium,F,VVS2,1.2,62.2,58,6.83,6.78,4.23,11021
22974,Premium,I,VVS2,1.52,61.6,58,7.41,7.37,4.55,11021
22975,Premium,I,VS1,1.6,58.6,58,7.72,7.66,4.51,11021
22976,Good,D,VS2,1.33,63.6,58,7.02,6.91,4.43,11023
22977,Premium,E,IF,1.05,59.8,59,6.65,6.62,3.97,11025
22978,Very Good,H,VS2,1.5,60.7,61,7.34,7.41,4.48,11025
22979,Ideal,G,SI1,1.52,60.3,57,7.58,7.48,4.54,11028
22980,Ideal,E,VVS1,1.02,61.4,57,6.39,6.47,3.95,11028
22981,Very Good,G,SI1,1.51,59.6,60,7.43,7.47,4.44,11029
22982,Premium,G,VS2,1.44,59.5,61,7.38,7.3,4.37,11032
22983,Premium,G,VS2,1.71,61.3,58,7.64,7.6,4.67,11032
22984,Ideal,I,VVS1,1.52,62.3,55,7.32,7.37,4.58,11033
22985,Ideal,F,SI1,1.51,63,57,7.29,7.25,4.58,11035
22986,Good,J,SI2,2,61.5,61,7.97,8.06,4.93,11036
22987,Premium,H,SI2,1.87,62.5,58,7.86,7.81,4.9,11037
22988,Very Good,H,VS2,1.56,63.1,60,7.43,7.34,4.66,11039
22989,Ideal,F,VVS2,1.23,61.8,56,6.84,6.89,4.24,11040
22990,Ideal,I,SI1,1.57,61.9,55,7.38,7.44,4.59,11040
22991,Ideal,H,SI2,2.06,62,57,8.1,8.06,5.01,11040
22992,Good,G,SI2,2,58.1,64,8.3,8.27,4.81,11041
22993,Premium,G,SI2,1.7,62,57,7.72,7.63,4.76,11043
22994,Ideal,H,VS2,1.61,61.4,57,7.52,7.57,4.63,11045
22995,Ideal,F,SI1,1.56,61.2,57,7.48,7.52,4.59,11047
22996,Premium,H,VS2,1.55,60.4,60,7.39,7.44,4.48,11048
22997,Premium,J,VS1,1.74,62.5,58,7.67,7.65,4.79,11050
22998,Premium,I,SI2,2.3,61.3,58,8.53,8.46,5.21,11051
22999,Ideal,F,VVS1,1.13,61.7,56,6.68,6.75,4.14,11051
23000,Ideal,D,VS1,1.2,61,59,6.79,6.85,4.16,11053
23001,Ideal,D,VVS2,1.01,61.1,57,6.49,6.47,3.96,11057
23002,Premium,I,VS2,2.02,61.2,60,8.22,8.13,5,11059
23003,Very Good,G,VS2,1.47,62.7,56,7.15,7.18,4.49,11060
23004,Premium,G,VVS1,1.3,60.5,60,7.01,7.05,4.25,11061
23005,Premium,E,VVS1,1.02,61.5,59,6.41,6.46,3.96,11062
23006,Ideal,H,SI1,1.51,62.3,53.7,7.33,7.37,4.58,11062
23007,Premium,I,VS2,1.7,61.7,59,7.63,7.57,4.69,11062
23008,Premium,H,VS2,1.52,61.1,59,7.45,7.38,4.53,11066
23009,Ideal,I,VS1,1.55,61.9,55,7.46,7.43,4.61,11067
23010,Very Good,H,VS2,1.51,60.9,57,7.39,7.43,4.51,11068
23011,Premium,E,SI2,0.35,61.5,59,4.56,4.52,2.79,630
23012,Premium,E,SI2,0.35,61,58,4.56,4.52,2.77,630
23013,Premium,H,VS1,0.3,62.1,59,4.28,4.25,2.65,630
23014,Premium,H,VS1,0.3,62.4,60,4.29,4.23,2.66,630
23015,Very Good,H,VS1,0.3,63.2,58,4.26,4.22,2.68,630
23016,Premium,G,VS2,0.3,61.1,62,4.33,4.28,2.63,630
23017,Premium,G,VS2,0.3,62.6,62,4.25,4.21,2.65,630
23018,Very Good,G,VS2,0.3,63.1,58,4.27,4.23,2.68,630
23019,Ideal,F,I1,0.4,63.3,60,4.68,4.64,2.95,630
23020,Premium,G,VS2,0.3,61.8,60,4.29,4.25,2.64,630
23021,Fair,E,VS2,0.3,66.7,59,4.23,4.05,2.78,630
23022,Ideal,I,VS2,0.35,61.7,57,4.56,4.52,2.8,630
23023,Premium,I,VS2,0.35,61.2,58,4.57,4.55,2.79,630
23024,Ideal,E,SI2,0.35,61.4,56,4.55,4.51,2.78,630
23025,Very Good,G,VVS2,0.3,62.4,56,4.27,4.3,2.67,631
23026,Very Good,G,VVS2,0.3,60.3,57,4.35,4.36,2.63,631
23027,Very Good,H,VVS1,0.3,61,55,4.35,4.39,2.66,631
23028,Ideal,H,VVS2,0.3,61.9,54.5,4.31,4.35,2.68,631
23029,Ideal,H,VVS2,0.3,61.7,54.2,4.32,4.35,2.67,631
23030,Ideal,G,SI1,0.33,61.3,56,4.51,4.46,2.75,631
23031,Premium,G,SI1,0.33,59.8,58,4.54,4.52,2.71,631
23032,Premium,D,SI2,0.33,62.7,58,4.41,4.39,2.76,631
23033,Premium,D,SI2,0.33,61.6,59,4.42,4.41,2.72,631
23034,Ideal,D,SI2,0.33,61.3,56,4.49,4.45,2.74,631
23035,Premium,G,SI1,0.33,61.1,59,4.45,4.42,2.71,631
23036,Ideal,D,SI2,0.33,60.9,56,4.48,4.45,2.72,631
23037,Ideal,D,SI2,0.33,61.1,57,4.5,4.47,2.74,631
23038,Premium,D,SI2,0.33,59.5,59,4.5,4.48,2.67,631
23039,Ideal,D,SI2,0.33,62,57,4.46,4.45,2.76,631
23040,Very Good,D,SI2,0.33,63.4,56,4.43,4.4,2.8,631
23041,Ideal,H,SI1,1.57,62.4,56,7.42,7.45,4.64,11068
23042,Very Good,E,SI2,1.53,59.3,58,7.54,7.57,4.48,11069
23043,Ideal,G,VVS2,1.3,62,57,6.96,7.03,4.34,11073
23044,Ideal,E,VVS2,1.11,62.9,55,6.56,6.62,4.14,11074
23045,Good,E,SI1,1.52,63.5,58,7.29,7.36,4.65,11075
23046,Very Good,H,VS2,1.51,60.9,54,7.38,7.41,4.5,11077
23047,Premium,D,SI2,1.53,60.7,60,7.45,7.41,4.51,11078
23048,Ideal,H,SI1,1.63,61.9,57,7.59,7.53,4.68,11078
23049,Ideal,G,SI1,1.5,62,56,7.29,7.33,4.53,11079
23050,Ideal,G,VS1,1.32,61.7,56,7.03,7.11,4.36,11079
23051,Very Good,G,VVS1,1.23,61.2,55.8,6.9,6.94,4.23,11081
23052,Ideal,D,VVS2,1.01,62.3,53,6.4,6.47,4.02,11082
23053,Ideal,I,VS2,1.69,61.7,56,7.65,7.71,4.74,11086
23054,Premium,H,VS2,1.53,60.1,58,7.6,7.57,4.71,11087
23055,Good,D,SI1,1.51,64.9,60,7.14,7.2,4.65,11087
23056,Very Good,I,VVS1,1.51,63,59,7.24,7.3,4.58,11088
23057,Premium,H,VS1,1.5,62.1,59,7.27,7.31,4.53,11088
23058,Premium,H,VS1,1.5,59.9,60,7.39,7.44,4.44,11088
23059,Very Good,H,SI2,2.2,63.3,57,8.28,8.17,5.21,11088
23060,Premium,E,VS1,1.25,61.5,59,6.95,6.91,4.26,11088
23061,Ideal,G,VVS2,1.25,62,59,6.88,6.96,4.29,11089
23062,Ideal,E,SI2,1.61,63,60,7.45,7.42,4.68,11090
23063,Very Good,F,SI2,1.7,63.4,57,7.54,7.57,4.79,11091
23064,Premium,H,VS2,1.5,62.4,59,7.29,7.32,4.56,11092
23065,Very Good,G,VS2,1.52,62.4,56,7.26,7.36,4.56,11093
23066,Premium,H,SI2,2.07,59.6,60,8.3,8.24,4.93,11094
23067,Good,G,SI2,2.01,63.6,59,7.97,7.9,5.05,11096
23068,Fair,E,SI1,1.51,58.4,70,7.55,7.39,4.36,11102
23069,Premium,D,SI2,1.55,62,58,7.44,7.39,4.6,11103
23070,Ideal,E,VS1,1.18,61.4,57,6.77,6.81,4.17,11104
23071,Premium,G,IF,1.22,59.2,58,7.02,6.97,4.14,11104
23072,Ideal,I,SI2,2.25,60.7,56,8.54,8.5,5.17,11104
23073,Premium,H,VS2,1.53,62.7,56,7.39,7.31,4.61,11104
23074,Premium,I,SI1,1.71,60.2,58,7.79,7.75,4.68,11104
23075,Premium,H,VS2,1.52,59.4,59,7.45,7.49,4.44,11105
23076,Ideal,G,SI1,1.52,60.3,57,7.47,7.51,4.52,11105
23077,Premium,I,SI2,1.87,60.3,61,7.95,7.91,4.78,11105
23078,Premium,J,SI2,2,60.9,54,8.17,8.12,4.96,11106
23079,Premium,G,SI1,1.54,61.8,59,7.32,7.37,4.54,11107
23080,Very Good,G,VVS2,1.31,62.2,59,6.91,6.98,4.32,11108
23081,Premium,H,SI2,2,61.4,59,8.07,8,4.93,11108
23082,Ideal,G,VS1,1.41,60.4,57,7.31,7.22,4.39,11109
23083,Ideal,H,IF,1.34,60.9,57,7.09,7.19,4.35,11109
23084,Very Good,J,SI2,2.01,61,57,8.09,8.14,4.95,11110
23085,Ideal,I,SI1,1.58,61.7,56,7.47,7.5,4.62,11110
23086,Ideal,G,IF,1.22,61.7,56,6.87,6.91,4.25,11111
23087,Ideal,F,SI2,1.75,62.9,57,7.71,7.59,4.81,11113
23088,Premium,G,SI1,1.57,59.5,58,7.61,7.56,4.51,11113
23089,Premium,G,SI1,1.57,59.2,59,7.68,7.6,4.52,11113
23090,Premium,G,VS2,1.47,62.8,57,7.27,7.22,4.55,11113
23091,Ideal,H,VS2,1.62,62.4,57,7.48,7.53,4.68,11114
23092,Premium,I,SI2,2.25,61.9,59,8.42,8.35,5.19,11114
23093,Ideal,E,VVS2,1.13,61.4,57,6.69,6.74,4.12,11115
23094,Ideal,E,VVS2,1.13,61.6,56,6.69,6.71,4.13,11115
23095,Good,I,VS2,2.01,59,64,8.25,8.19,4.85,11115
23096,Ideal,F,IF,1.02,62,58,6.44,6.49,4.01,11116
23097,Premium,G,VVS2,1.34,61.3,58,7.16,7.1,4.37,11118
23098,Very Good,H,I1,2.34,62.4,55.4,8.44,8.51,5.29,11119
23099,Premium,I,SI1,2.02,62.1,58,8.1,8.04,5.01,11119
23100,Ideal,I,VS1,1.59,61.2,58,7.52,7.5,4.6,11119
23101,Ideal,G,SI2,2.09,62.5,57,8.21,8.14,5.11,11119
23102,Ideal,F,VVS2,1.16,60.5,57,6.8,6.86,4.13,11120
23103,Premium,H,VS1,1.53,59.4,59,7.58,7.51,4.48,11127
23104,Fair,E,SI1,1.5,58.2,66,7.45,7.4,4.32,11128
23105,Ideal,E,VVS1,1.02,61.3,57,6.47,6.54,3.99,11128
23106,Premium,G,SI1,1.51,59.6,60,7.47,7.43,4.44,11129
23107,Very Good,F,VVS2,1.24,62,55,6.88,6.95,4.29,11130
23108,Premium,F,VS1,1.3,62,58,6.94,6.9,4.29,11130
23109,Ideal,D,VVS2,1.1,62,57,6.57,6.62,4.09,11132
23110,Very Good,D,VVS2,1.1,61.7,56,6.64,6.65,4.1,11132
23111,Ideal,F,VS1,1.36,61.4,57,7.25,7.09,4.4,11132
23112,Ideal,H,VS2,1.51,62.5,56,7.37,7.33,4.57,11133
23113,Very Good,H,VVS2,1.7,63.2,56,7.59,7.56,4.79,11133
23114,Ideal,F,VS1,1.31,61.7,56,7.02,7.04,4.34,11136
23115,Premium,D,SI2,1.7,63,59,7.67,7.6,4.81,11138
23116,Ideal,F,VVS2,1.23,61.8,56,6.89,6.84,4.24,11141
23117,Ideal,G,VVS1,1.31,61.1,57,7.01,7.06,4.3,11146
23118,Very Good,H,SI1,1.67,59.4,61,7.73,7.78,4.61,11146
23119,Premium,I,VVS2,1.57,60.7,58,7.54,7.51,4.57,11146
23120,Ideal,G,VVS1,1.28,62.1,56,6.93,6.96,4.31,11147
23121,Ideal,D,SI2,1.68,62.7,55,7.45,7.58,4.71,11147
23122,Premium,H,SI2,2.2,58.2,59,8.52,8.47,4.94,11147
23123,Ideal,F,SI1,1.56,61.2,57,7.52,7.48,4.59,11148
23124,Ideal,E,SI2,1.59,62.3,55,7.48,7.52,4.67,11149
23125,Premium,H,VS2,1.55,60.4,60,7.44,7.39,4.48,11149
23126,Ideal,J,VS1,1.77,62.2,56,7.77,7.73,4.82,11150
23127,Ideal,I,VS1,1.62,60.8,56,7.56,7.61,4.62,11152
23128,Premium,G,SI1,1.51,62.6,58,7.27,7.3,4.56,11153
23129,Very Good,G,SI1,1.51,62.9,57,7.27,7.3,4.58,11153
23130,Fair,F,SI1,1.5,64.6,60,7.18,7.1,4.61,11154
23131,Premium,F,SI1,1.5,62.8,56,7.36,7.3,4.6,11154
23132,Ideal,H,VS1,1.52,62.3,55,7.36,7.32,4.57,11154
23133,Ideal,E,VVS1,1.01,62,57,6.45,6.39,3.98,11154
23134,Premium,I,VVS1,1.5,62.4,60,7.32,7.29,4.56,11155
23135,Ideal,I,VS2,1.66,62.3,54,7.58,7.61,4.73,11156
23136,Fair,G,SI2,2,65.1,54,7.88,7.82,5.11,11156
23137,Fair,E,SI2,2.01,65.5,56,7.84,7.79,5.12,11156
23138,Ideal,G,IF,1.27,61.5,58,6.95,6.99,4.29,11157
23139,Ideal,H,VS2,1.5,62.8,57,7.3,7.25,4.57,11159
23140,Premium,H,SI1,1.64,59.3,61,7.68,7.64,4.54,11159
23141,Very Good,G,VS2,1.51,59.3,58,7.32,7.49,4.39,11161
23142,Very Good,H,VS1,1.51,61.8,59,7.27,7.32,4.51,11161
23143,Premium,H,VS1,1.51,61,60,7.29,7.34,4.46,11161
23144,Premium,H,VS1,1.71,58.1,62,8.02,7.84,4.61,11161
23145,Premium,G,VVS1,1.3,60.5,60,7.05,7.01,4.25,11162
23146,Ideal,H,SI1,1.51,62.3,54,7.37,7.33,4.58,11163
23147,Premium,E,VVS1,1.02,61.5,59,6.46,6.41,3.96,11163
23148,Premium,J,SI2,2.02,62.1,60,7.98,8.09,4.99,11165
23149,Very Good,H,VS2,1.51,62.8,60,7.25,7.28,4.56,11166
23150,Ideal,E,VVS2,1.08,61,56,6.64,6.67,4.06,11166
23151,Premium,F,IF,1.02,62.5,58,6.54,6.39,4.04,11167
23152,Ideal,D,VVS2,1.02,62,56,6.48,6.43,4,11167
23153,Ideal,I,VVS1,1.52,61.9,56,7.37,7.34,4.55,11168
23154,Premium,H,SI1,1.61,60.8,56,7.61,7.58,4.62,11169
23155,Very Good,I,VVS1,1.6,59.8,56,7.6,7.68,4.57,11170
23156,Ideal,I,SI2,2.03,61.1,56,8.22,8.17,5.01,11172
23157,Very Good,E,VVS2,1.23,60.4,62,6.88,6.93,4.17,11175
23158,Premium,F,VVS1,1.21,63,59,6.75,6.7,4.24,11175
23159,Ideal,G,VVS2,1.3,62,57,7.03,6.96,4.34,11175
23160,Very Good,E,SI1,1.52,63.5,58,7.36,7.29,4.65,11176
23161,Premium,J,VS1,1.76,62,58,7.74,7.7,4.79,11177
23162,Premium,H,VS2,1.54,61,60,7.46,7.42,4.54,11177
23163,Premium,F,VS1,1.32,61.7,59,6.99,6.95,4.3,11177
23164,Very Good,H,VS2,1.53,62.2,58,7.3,7.34,4.55,11178
23165,Good,E,SI1,1.5,58.9,61,7.43,7.5,4.4,11179
23166,Ideal,H,SI1,1.62,60.9,58,7.53,7.61,4.61,11180
23167,Ideal,G,SI1,1.5,62,56,7.33,7.29,4.53,11180
23168,Good,G,SI1,1.7,58.2,64,7.89,7.85,4.58,11180
23169,Good,F,VVS1,1.2,63.6,57,6.74,6.71,4.28,11182
23170,Ideal,G,VVS1,1.23,61.2,56,6.94,6.9,4.23,11182
23171,Ideal,E,VVS2,1.18,61.6,58,6.78,6.82,4.19,11184
23172,Premium,J,SI1,2.01,60.3,56,8.02,7.96,4.82,11188
23173,Premium,H,VS2,1.51,61.2,58,7.4,7.36,4.52,11188
23174,Premium,G,VS2,1.5,59.9,58,7.38,7.34,4.41,11189
23175,Premium,H,VS1,1.5,62.1,59,7.31,7.27,4.53,11189
23176,Fair,J,SI1,2,66.4,55,7.82,7.67,5.15,11189
23177,Premium,G,VS2,1.5,58.4,58,7.54,7.5,4.39,11189
23178,Ideal,H,SI1,1.5,62,55,7.34,7.29,4.54,11189
23179,Very Good,J,SI1,2,63.3,59,7.95,7.89,5.01,11189
23180,Premium,H,VS1,1.5,59.9,60,7.44,7.39,4.44,11189
23181,Premium,G,SI1,1.6,62.4,61,7.43,7.4,4.63,11189
23182,Very Good,I,VS2,1.7,58.5,59,7.81,7.89,4.59,11190
23183,Very Good,F,SI1,1.51,62.4,55,7.28,7.34,4.56,11190
23184,Premium,I,SI2,2.06,62.2,60,8.14,8.1,5.05,11190
23185,Ideal,G,SI1,1.61,61.2,55,7.57,7.62,4.65,11192
23186,Very Good,E,SI1,1.5,64,58,7.21,7.23,4.62,11194
23187,Premium,H,VS2,1.5,62.4,59,7.32,7.29,4.56,11194
23188,Ideal,J,VS1,1.74,61.1,56,7.85,7.79,4.78,11194
23189,Ideal,F,IF,1.06,61,57,6.64,6.55,4.02,11195
23190,Ideal,D,VVS2,1.05,61.9,54,6.53,6.55,4.05,11196
23191,Ideal,F,VS1,1.29,60.7,57,7.08,7.05,4.29,11197
23192,Premium,F,SI2,2,60.6,62,8.19,7.84,4.86,11198
23193,Ideal,F,SI2,1.71,62.1,54,7.72,7.67,4.78,11199
23194,Premium,H,SI1,2,61.7,58,7.82,7.77,4.81,11200
23195,Premium,H,SI2,2,62.1,60,8.1,8.01,5.3,11202
23196,Fair,H,SI2,2,55.3,65,8.42,8.35,4.64,11202
23197,Ideal,F,VS2,1.38,61.9,55,7.16,7.12,4.42,11205
23198,Premium,H,VS2,1.52,59.4,59,7.49,7.45,4.44,11206
23199,Ideal,H,VS2,1.52,60.7,56,7.49,7.41,4.52,11206
23200,Ideal,E,VVS2,1.14,61.6,57,6.68,6.73,4.13,11206
23201,Ideal,G,VS1,1.27,61.2,57,6.97,6.98,4.27,11206
23202,Premium,J,VS2,2.04,60.9,59,8.25,8.21,5.01,11209
23203,Premium,G,SI1,1.54,61.8,59,7.37,7.32,4.54,11209
23204,Ideal,D,VVS2,1.06,61.1,56,6.58,6.59,4.02,11209
23205,Good,D,SI1,1.51,63.6,61,7.1,7.25,4.56,11212
23206,Fair,J,SI1,2.01,64.4,61,7.74,7.78,5,11212
23207,Very Good,G,VVS1,1.28,60.3,59,6.99,7.03,4.23,11214
23208,Very Good,E,IF,1,62.5,55,6.28,6.39,3.96,11214
23209,Very Good,G,VS1,1.5,59.1,62,7.38,7.42,4.37,11216
23210,Ideal,I,VS2,1.62,61.8,55,7.56,7.59,4.68,11217
23211,Ideal,G,VVS1,1.26,61.7,56,6.96,6.98,4.3,11218
23212,Very Good,H,VS2,1.5,60,62,7.38,7.41,4.44,11220
23213,Premium,D,SI1,1.52,60.8,61,7.39,7.26,4.45,11220
23214,Ideal,E,SI2,1.61,61.3,59,7.47,7.57,4.61,11220
23215,Ideal,H,I1,2.34,62.4,55,8.51,8.44,5.29,11221
23216,Good,F,SI2,1.71,64,59,7.53,7.44,4.79,11225
23217,Ideal,I,VS2,1.72,62.8,57,7.69,7.63,4.81,11226
23218,Ideal,F,VVS1,1.14,60.1,60,6.79,6.83,4.09,11226
23219,Premium,H,SI2,2.26,61.9,58,8.37,8.33,5.17,11226
23220,Premium,G,SI2,1.71,62.6,57,7.66,7.6,4.78,11227
23221,Ideal,I,SI1,1.7,62.4,56,7.68,7.64,4.78,11228
23222,Premium,F,SI2,1.7,60.5,59,7.77,7.73,4.69,11228
23223,Ideal,F,SI1,1.53,62,56,7.43,7.38,4.59,11229
23224,Premium,G,SI1,1.51,60.5,59,7.49,7.41,4.51,11230
